id,title,source_name,url,license,date_accessed,text_chunk,category
pmc_5705985,Evidence to Use Botulinum Toxin Injections in Tension-Type Headache Management: A Systematic Review,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5705985/,Open Access,2026-01-26,"Systematic Review: Evidence to Use Botulinum Toxin Injections in Tension-Type Headache Management: A Systematic Review
Authors: Mieszko Wieckiewicz, Natalia Grychowska, Marek Zietek et al.
Journal: Toxins
Published: 2017

Abstract: Tension-type headache (TTH) is the most common type of chronic recurring head pain. It can occur twice as often in women as in men. It is the most common type of headache. Its lifetime prevalence is 30% to 78% in the general population. TTH treatment should be multilevel. It often consists of taking pain medication, muscle relaxants, antidepressants, using biofeedback therapy, acupuncture, and attending behavioral therapy. Several clinical trials also suggest that botulinum toxin (BTX) may be an effective treatment option for such patients. The aim of this study was to evaluate if BTX can be used as a treatment method in TTH in the light of current medical literature. The authors searched the PubMed, EBSCOhost, OVID, Web of Knowledge, Cochrane Library and CINAHL databases to identify relevant publications. The authors finally included 11 papers—prospective and retrospective cohort studies. Among most of the selected studies, there was a significant correlation between using BTX and reduction of TTH pain intensity and severity. By analyzing qualified studies, it can be concluded that botulinum toxin seems to be effective in TTH management.",systematic_review
pmc_3464474_1,Quality in the provision of headache care. 1: systematic review of the literature and commentary,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3464474/,Open Access,2026-01-26,"Systematic Review: Quality in the provision of headache care. 1: systematic review of the literature and commentary
Authors: Michele Peters, Suraj Perera, Elizabeth Loder et al. Journal: The Journal of Headache and Pain
Published: 2012

Abstract: Widely accepted quality indicators for headache care would provide a basis not only for assessment of care but also, and more importantly, for its improvement. The objective of the study was to identify and summarize existing information on such indicators: specifically, did indicators exist, how had they been developed, what aspects of headache care did they relate to and how and with what utility were they being used? A systematic review of the medical literature was performed. A total of 32 articles met criteria for inclusion. We identified 55 existing headache quality indicators of which 37 evaluated processes of headache care. Most were relevant only to specific populations of patients and to care delivered in high-resource settings. Indicators had been used to describe overall quality of headache care at a national level, but not systematically applied to the evaluation and improvement of headache services in other settings. Some studies had evaluated the use of existing disability and quality of life instruments, but their findings had not been incorporated into quality indicators. Existing headache care quality indicators are incomplete and inadequate for purpose. They emphasize processes of care rather than structure or outcomes, and are not widely applicable to different levels and locations of headache care. Furthermore, they do not fully incorporate accepted evidence regarding optimal methods of care. There is a clear need for consensus-based indicators that fully reflect patients’ and public-health priorities.",systematic_review
pmc_3464474_2,Quality in the provision of headache care. 1: systematic review of the literature and commentary,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3464474/,Open Access,2026-01-26,"Ideally, these will be valid across cultures and health-care settings.Electronic supplementary materialThe online version of this article (doi:10.1007/s10194-012-0466-1) contains supplementary material, which is available to authorized users.",systematic_review
pmc_4870486,Does monosodium glutamate really cause headache? : a systematic review of human studies,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4870486/,Open Access,2026-01-26,"Systematic Review: Does monosodium glutamate really cause headache? : a systematic review of human studies
Authors: Yoko Obayashi, Yoichi Nagamura
Journal: The Journal of Headache and Pain
Published: 2016

Abstract: Although monosodium glutamate (MSG) is classified as a causative substance of headache in the International Classification of Headache Disorders 3rd edition (ICHD-III beta), there is no literature in which causal relationship between MSG and headache was comprehensively reviewed. We performed systematic review of human studies which include the incidence of headache after an oral administration of MSG. An analysis was made by separating the human studies with MSG administration with or without food, because of the significant difference of kinetics of glutamate between those conditions (Am J Clin Nutr 37:194–200, 1983; J Nutr 130:1002S–1004S, 2000) and there are some papers which report the difference of the manifestation of symptoms after MSG ingestion with or without food (Food Chem Toxicol 31:1019–1035, 1993; J Nutr 125:2891S-2906S, 1995). Of five papers including six studies with food, none showed a significant difference in the incidence of headache except for the female group in one study. Of five papers including seven studies without food, four studies showed a significant difference. Many of the studies involved administration of MSG in solution at high concentrations (>2 %). Since the distinctive MSG is readily identified at such concentrations, these studies were thought not to be properly blinded. Because of the absence of proper blinding, and the inconsistency of the findings, we conclude that further studies are required to evaluate whether or not a causal relationship exists between MSG ingestion and headache.",systematic_review
pmc_5626766,Mobile Phone Use and The Risk of Headache: A Systematic Review and Meta-analysis of Cross-sectional Studies,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5626766/,Open Access,2026-01-26,"Systematic Review: Mobile Phone Use and The Risk of Headache: A Systematic Review and Meta-analysis of Cross-sectional Studies
Authors: Jing Wang, Hui Su, Wei Xie et al.
Journal: Scientific Reports
Published: 2017

Abstract: Headache is increasingly being reported as a detrimental effect of mobile phone (MP) use. However, studies aimed to investigate the association between MP use and headache yielded conflicting results. To assess the consistency of the data on the topic, we performed a systematic review and meta-analysis of the available cross-sectional studies. Published literature from PubMed and other databases were retrieved and screened, and 7 cross-sectional studies were finally included in this meta-analysis. The pooled odds ratio (OR) and 95% confidence interval (CI) were calculated. We found that the risk of headache was increased by 38% in MP user compared with non-MP user (OR, 1.38; 95% CI, 1.18–1.61, p < 0.001). Among MP users, the risk of headache was also increased in those who had longer daily call duration (2–15 min vs. <2 min: OR, 1.62; 95% CI, 1.34–1.98, p < 0.001; >15 min vs. <2 min: OR, 2.50; 95% CI, 1.76–3.54, p < 0.001) and higher daily call frequency (2–4 calls vs. <2 calls: OR, 1.37; 95% CI, 1.07–1.76, p < 0.001; >4 calls vs. <2 calls: OR, 2.52; 95% CI, 1.78–3.58, p < 0.001). Our data indicate that MP use is significantly associated with headache, further epidemiologic and experimental studies are required to affirm and understand this association.",systematic_review
pmc_5478153_1,Efficacy of ibuprofen on prevention of high altitude headache: A systematic review and meta-analysis,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5478153/,Open Access,2026-01-26,"Systematic Review: Efficacy of ibuprofen on prevention of high altitude headache: A systematic review and meta-analysis
Authors: Juan Xiong, Hui Lu, Rong Wang et al. Journal: PLoS ONE
Published: 2017

Abstract: ObjectiveIbuprofen is used to prevent high altitude headache (HAH) but its efficacy remains controversial. We conducted a systematic review and meta-analysis of randomized, placebo-controlled trials (RCTs) of ibuprofen for the prevention of HAH.MethodsStudies reporting efficacy of ibuprofen for prevention of HAH were identified by searching electronic databases (until December 2016). The primary outcome was the difference in incidence of HAH between ibuprofen and placebo groups. Risk ratios (RR) were aggregated using a Mantel-Haenszel random effect model. Heterogeneity of included trials was assessed using the I2 statistics.ResultsIn three randomized-controlled clinical trials involving 407 subjects, HAH occurred in 101 of 239 subjects (42%) who received ibuprofen and 96 of 168 (57%) who received placebo (RR = 0.79, 95% CI 0.66 to 0.96, Z = 2.43, P = 0.02, I2 = 0%). The absolute risk reduction (ARR) was 15%. Number needed to treat (NNT) to prevent HAH was 7. Similarly, The incidence of severe HAH was significant in the two groups (RR = 0.40, 95% CI 0.17 to 0.93, Z = 2.14, P = 0.03, I2 = 0%). Severe HAH occurred in 3% treated with ibuprofen and 10% with placebo. The ARR was 8%. NNT to prevent severe HAH was 13. Headache severity using a visual analogue scale was not different between ibuprofen and placebo. Similarly, the difference between the two groups in the change in SpO2 from baseline to altitude was not different.",systematic_review
pmc_5478153_2,Efficacy of ibuprofen on prevention of high altitude headache: A systematic review and meta-analysis,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5478153/,Open Access,2026-01-26,"One included RCT reported one participant with black stools and three participants with stomach pain in the ibuprofen group, while seven participants reported stomach pain in the placebo group.ConclusionsBased on a limited number of studies ibuprofen seems efficacious for the prevention of HAH and may therefore represent an alternative for preventing HAH with acetazolamide or dexamethasone.",systematic_review
pmc_4147710,Commercially Available Mobile Phone Headache Diary Apps: A Systematic Review,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4147710/,Open Access,2026-01-26,"Systematic Review: Commercially Available Mobile Phone Headache Diary Apps: A Systematic Review
Authors: Amos S Hundert, Anna Huguet, Patrick J McGrath et al.
Journal: JMIR mHealth and uHealth
Published: 2014

Abstract: BackgroundHeadache diaries are often used by headache sufferers to self-monitor headaches. With advances in mobile technology, mobile electronic diary apps are becoming increasingly common.ObjectiveThis review aims to identify and evaluate all commercially available mobile headache diary apps for the two most popular mobile phone platforms, iOS and Android.MethodsThe authors developed a priori a set of 7 criteria that define an ideal headache diary app intended to help headache sufferers better understand and manage their headaches, while providing relevant data to health professionals. The app criteria were intended as minimum requirements for an acceptable headache diary app that could be prescribed by health care professionals. Each app was evaluated and scored against each criterion.ResultsOf the 38 apps identified, none of the apps met all 7 app criteria. The 3 highest scoring apps, meeting 5 of the app criteria, were iHeadache (developed by Better QOL), ecoHeadache (developed by ecoTouchMedia), and Headache Diary Pro (developed by Froggyware). Only 18% of the apps were created with scientific or clinical headache expertise and none of the apps reported on psychometric properties.ConclusionsDespite the growing market and demand, there is a concerning lack of scientific expertise and evidence base associated with headache diary apps.",systematic_review
pmc_5629643_1,Non-pharmacological self-management for people living with migraine or tension-type headache: a systematic review including analysis of intervention components,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5629643/,Open Access,2026-01-26,"Systematic Review: Non-pharmacological self-management for people living with migraine or tension-type headache: a systematic review including analysis of intervention components
Authors: Katrin Probyn, Hannah Bowers, Dipesh Mistry et al. Journal: BMJ Open
Published: 2017

Abstract: ObjectivesTo assess the effect of non-pharmacological self-management interventions against usual care, and to explore diﬀerent components and delivery methods within those interventionsParticipantsPeople living with migraine and/or tension-type headacheInterventionsNon-pharmacological educational or psychological self-management interventions; excluding biofeedback and physical therapy.We assessed the overall effectiveness against usual care on headache frequency, pain intensity, mood, headache-related disability, quality of life and medication consumption in meta-analysis.We also provide preliminary evidence on the effectiveness of intervention components and delivery methods.ResultsWe found a small overall effect for the superiority of self-management interventions over usual care, with a standardised mean diﬀerence (SMD) of −0.36 (−0.45 to −0.26) for pain intensity; −0.32 (−0.42 to −0.22) for headache-related disability, 0.32 (0.20 to 0.45) for quality of life and a moderate effect on mood (SMD=0.53 (−0.66 to −0.40)).",systematic_review
pmc_5629643_2,Non-pharmacological self-management for people living with migraine or tension-type headache: a systematic review including analysis of intervention components,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5629643/,Open Access,2026-01-26,"We did not find an effect on headache frequency (SMD=−0.07 (−0.22 to 0.08)).Assessment of components and characteristics suggests a larger effect on pain intensity in interventions that included explicit educational components (−0.51 (−0.68 to −0.34) vs −0.28 (−0.40 to −0.16)); mindfulness components (−0.50 (−0.82 to −0.18) vs 0.34 (−0.44 to −0.24)) and in interventions delivered in groups vs one-to-one delivery (0.56 (−0.72 to −0.40) vs −0.39 (−0.52 to −0.27)) and larger effects on mood in interventions including a cognitive–behavioural therapy (CBT) component with an SMD of −0.72 (−0.93 to −0.51) compared with those without CBT −0.41 (−0.58 to −0.24).ConclusionOverall we found that self-management interventions for migraine and tension-type headache are more effective than usual care in reducing pain intensity, mood and headache-related disability, but have no effect on headache frequency. Preliminary findings also suggest that including CBT, mindfulness and educational components in interventions, and delivery in groups may increase effectiveness.Trial registration numberPROSPERO 2016:CRD42016041291",systematic_review
